codigo;nome;ente_codigo;municipio_codigo;uf_codigo
23087;FUNDO ESPECIAL P/INSTAL. APERF. D. DAS ATIV. DOS J.C.CRIMINAIS;100;;
23088;FUNDO DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO - FDCT;100;;
23089;FUNDO ESTADUAL DE DEFESA DOS DIREITOS DIFUSOS;100;;
23090;FUNDO ESTADUAL DE HABITAÇÃO - FEH;100;;
23091;FUNDO ORÇAMENTÁRIO ESPECIAL DE ESTUDOS JURÍDICOS - CEJUR;100;;
23092;FUNDO ESTADUAL DE FLORESTA DO ACRE;100;;
23093;FUNDO DE APOIO AO COOPERATIVISMO - FAC;100;;
23094;FUNDO DESENVOLVIMENTO DE RECURSO HUMANOS DO ESTADO DO ACRE;100;;
23096;FUNDO ESTADUAL DE MICRO CRÉDITO;100;;
23097;SECRETARIA DE ESTADO DE EMPREENDEDORISMO E TURISMO;100;;
23098;SECRETARIA DE ESTADO DE POLÍTICAS PARA MULHERES - SEPMULHERES;100;;
23099;FUNDO ESTADUAL DE FOMENTO A CULTURA;100;;
23100;FUNDO DE PREVIDENCIA SOCIAL DO ESTADO DO ACRE - FPS;100;;
23101;FUNDO ORÇAMENTÁRIO ESPECIAL DA ESCOLA SUPERIOR DA DEFENSORIA PÚBLICA - ESDPAC;100;;
23102;FUNDO DE PRESERVAÇÃO E DESENVOLVIMENTO DOS POVOS INDÍGENAS DO ACRE;100;;
23103;FUNDO ESPECIAL PARA A INSTALAÇÃO APARELHAMENTO APERFEIÇOAMENTO E DESENVOLVIMENTO DAS ATIVIDADES DOS JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS - FUNAJE;100;;
23104;FUNDO ESPECIAL DE COMPENSAÇÃO - FECOM;100;;
23105;FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DO ACRE - FAPAC;100;;
23106;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL - SEDS;100;;
23107;AGENCIA DE NEGOCIOS DO ESTADO DO ACRE SA;100;;
23108;"SECRETARIA DE ESTADO DE INDÚSTRIA, CIÊNCIAS E TECNOLOGIA – SEICT";100;;
23109;FUNDO ESPECIAL DO CORPO DE BOMBEIRO;100;;
23110;FUNDO PENITENCIÁRIO DO ESTADO DO ACRE - FUNPENACRE;100;;
23111;GOVERNO DO ESTADO DO ACRE;100;;
23112;COMPANHIA AGÊNCIA DE DESENVOLVIMENTO E SERVIÇOS AMBIENTAIS DO ESTADO DO ACRE;100;;
23113;FUNDO DE REAPARELHAMENTO POLICIAL - FUREPOL/SEJUSP;100;;
23114;INSTITUTO DE GESTÃO DE SAÚDE DO ACRE - IGESAC;100;;
23115;FUNDO ESPECIAL PARA O DESENVOLVIMENTO DA PRODUCAO E COMERCIALIZACAO DO ARTESANATO ACREANO - FUNCART;100;;
23116;REPRESENTAÇÃO DO GOVERNO EM BRASÍLIA – REPAC (ANTIGA);100;;
23117;FUNDO ESTADUAL DE SEGURANÇA - FUNDESEG;100;;
23118;FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DO ACRE - FUNEMP;100;;
23119;FUNDO ESTADUAL DE SEGURANÇA - FUNDESEG - POLÍCIA MILITAR;100;;
23120;FUNDO ESTADUAL DE SEGURANÇA - FUNDESEG - POLÍCIA CIVIL;100;;
24001;PREFEITURA - AMBIENTES DE TESTES - MULTITECH;166000;;
24002;CÂMARA - AMBIENTE DE TESTES - MULTITECH;166000;;
24003;PODER EXECUTIVO - AMBIENTE DE TESTES - DBSELLER;166000;;
24004;AMBIENTE DE TESTES - DBSELLER;166000;;
3001;PREFEITURA MUNICIPAL DE BRASILÉIA;1000;;
3002;CÂMARA MUNICIPAL DE BRASILÉIA;1000;;
3003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - BRASILÉIA;1000;;
3004;FUNDO MUNICIPAL DE SAÚDE - FMS - BRASILÉIA;1000;;
4001;PREFEITURA MUNICIPAL DE BUJARI;1100;;
4002;CÂMARA MUNICIPAL DE BUJARI;1100;;
4003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - BUJARI;1100;;
4004;FUNDO MUNICIPAL DE SAÚDE - FMS - BUJARI;1100;;
5001;PREFEITURA MUNICIPAL DE CAPIXABA;1200;;
5002;CÂMARA MUNICIPAL DE CAPIXABA;1200;;
5003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - CAPIXABA;1200;;
5004;FUNDO MUNICIPAL DE SAÚDE - FMS - CAPIXABA;1200;;
6001;PREFEITURA MUNICIPAL DE CRUZEIRO DO SUL;1300;;
6002;CÂMARA MUNICIPAL DE CRUZEIRO DO SUL;1300;;
6003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - CRUZEIRO DO SUL;1300;;
6004;FUNDO MUNICIPAL DE SAÚDE - FMS - CRUZEIRO DO SUL;1300;;
7001;PREFEITURA MUNICIPAL DE EPITACIOLÂNDIA;1400;;
7002;CÂMARA MUNICIPAL DE EPITACIOLÂNDIA;1400;;
7003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - EPITACIOLÂNDIA;1400;;
7004;FUNDO MUNICIPAL DE SAÚDE - FMS - EPITACIOLÂNDIA;1400;;
8001;PREFEITURA MUNICIPAL DE FEIJÓ;700;;
8002;CÂMARA MUNICIPAL DE FEIJÓ;700;;
8003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - FEIJÓ;700;;
8004;FUNDO MUNICIPAL DE SAÚDE - FMS - FEIJÓ;700;;
9001;PREFEITURA MUNICIPAL DE JORDÃO;1500;;
9002;CÂMARA MUNICIPAL DE JORDÃO;1500;;
9003;FUNDO MUNICIPAL DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA - FUNDEB - JORDÃO;1500;;
9004;FUNDO MUNICIPAL DE SAÚDE - FMS - JORDÃO;1500;;
